x,theta_mid,C_mid,psi_mid
0.0,1.0,1.0,0.0
0.0125,0.9865038337924179,0.977279634225409,-0.0029095144018001125
0.025,0.9730078562115049,0.95455939432454,-0.011028398071955648
0.037500000000000006,0.9595136945431888,0.9318566879920309,-0.023785246013495288
0.05,0.9460242064128188,0.9092035026165939,-0.04064501291933635
0.0625,0.9325432892417649,0.8866439286303801,-0.061107227186695215
0.07500000000000001,0.9190757033391158,0.8642318606720742,-0.08470429778933715
0.08750000000000001,0.9056269057461349,0.8420288429312144,-0.11099989956825654
0.1,0.8922028929618062,0.8201020374874363,-0.13958742523720682
0.1125,0.8788100514661519,0.7985223049225344,-0.17008849487301936
0.125,0.8654550155487292,0.7773623946439027,-0.20215151584303856
0.1375,0.8521445323952526,0.7566952490438177,-0.23545028798987394
0.15000000000000002,0.8388853348225902,0.7365924348832761,-0.2696826504595873
0.1625,0.8256840220376007,0.7171227103388889,-0.30456916802167683
0.17500000000000002,0.8125469489682129,0.6983507396693769,-0.33985185577242916
0.1875,0.7994801247336407,0.6803359664936991,-0.3752929419467155
0.2,0.7864891207759344,0.6631316542701232,-0.41067366920112724
0.21250000000000002,0.7735789890896831,0.6467840993199543,-0.4457931351901285
0.225,0.7607541908738416,0.6313320179844493,-0.4804671735597577
0.23750000000000002,0.7480185357989246,0.6168061055056251,-0.514527276655001
0.25,0.7353751319312677,0.6032287599032413,-0.547819561301838
0.2625,0.7228263461140725,0.5906139574125414,-0.5802037790057331
0.275,0.7103737738304583,0.5789672435147327,-0.6115523718057156
0.28750000000000003,0.6980182205096346,0.5682858936841406,-0.6417495746393835
0.30000000000000004,0.6857596924427396,0.5585591828587334,-0.6706905652788488
0.3125,0.6735973963867178,0.5497687338481592,-0.6982806626436879
0.325,0.6615297476208672,0.5418889368951141,-0.724434573988236
0.3375,0.6495543858787663,0.5348874239097597,-0.7490756912581236
0.35000000000000003,0.637668198502276,0.5287255804782915,-0.772135436722265
0.36250000000000004,0.6258673501465268,0.5233590800577113,-0.7935526578110277
0.375,0.6141473183680068,0.5187384266182038,-0.8132730709351721
0.3875,0.6025029344443105,0.514809494104854,-0.831248753927699
0.4,0.5909284288008023,0.5115140533379317,-0.84743768664446
0.41250000000000003,0.5794174804539755,0.5087902792619863,-0.8618033391804709
0.42500000000000004,0.5679632699213052,0.5065732337086777,-0.8743143071074005
0.4375,0.5565585350905699,0.5047953209894236,-0.8849439931129222
0.45,0.5451956295856952,0.503386715626911,-0.893670334423004
0.4625,0.5338665832089915,0.502275763324699,-0.9004755754116317
0.47500000000000003,0.5225631640789574,0.5013893578203473,-0.9053460848461297
0.48750000000000004,0.5112769421155883,0.5006532975096623,-0.9082722172766349
0.5,0.4999993535444601,0.49999262650254106,-0.909248218149785
0.5125000000000001,0.4887217660718296,0.4993319644215868,-0.9082721722964862
0.525,0.4774355473994266,0.49859593089611504,-0.905345995463523
0.5375,0.46613213374395684,0.49770957010279193,-0.9004754427730683
0.55,0.45480309501240107,0.49659868056661166,-0.8936701602269721
0.5625,0.4434401993060908,0.49519015621372764,-0.8849437795851345
0.5750000000000001,0.4320354764059424,0.49341234299008785,-0.8743140569683183
0.5875,0.4205812799101552,0.49119541570708325,-0.8618030556054366
0.6000000000000001,0.4090703476763267,0.4884717790020727,-0.847437373216865
0.6125,0.3974958601871722,0.48517649505938176,-0.8312484145856953
0.625,0.38585149641972516,0.4812477391911633,-0.8132727099125285
0.6375000000000001,0.37413148675508445,0.47662728258733567,-0.7935522795728209
0.65,0.3623306624216911,0.47126099955088957,-0.772135045896184
0.6625000000000001,0.3504445009219428,0.4650993943837216,-0.7490752925622527
0.675,0.33846916685193706,0.45809814083350925,-0.7244341721562706
0.6875,0.3264015474896025,0.4502186247211489,-0.6982802623486175
0.7000000000000001,0.3142392824997878,0.44142847812081204,-0.6706901710562281
0.7125,0.3019807870884277,0.4317020913543439,-0.6417491908113839
0.7250000000000001,0.28962526793470245,0.42102108721250553,-0.611552002407225
0.7375,0.27717273124792297,0.4093747405054977,-0.5802034277138444
0.75,0.26462398237207985,0.3967603264696682,-0.5478192313701334
0.7625000000000001,0.2519806167040337,0.3831833902882956,-0.5145269708540596
0.775,0.23924500099580145,0.36865790770014895,-0.48046689412475335
0.7875000000000001,0.22642024322030624,0.35320627609119337,-0.4457928837775693
0.8,0.2135101529533949,0.33685918994240427,-0.41067344685621454
0.8125,0.2005191912988446,0.3196553647117538,-0.3752927490827694
0.8250000000000001,0.18745241015632053,0.30164109572238795,-0.33985169216382255
0.8375,0.1743153808740066,0.282869645330167,-0.3045690328116989
0.8500000000000001,0.16111411247914434,0.2634004559610791,-0.26968254218462107
0.8625,0.1478549598104421,0.24329819060666988,-0.23545020462122923
0.875,0.13454452198916483,0.22263160612075442,-0.20215145484773123
0.8875000000000001,0.12118953175109817,0.2014722679062701,-0.17008845329474348
0.9,0.10779673620628882,0.17989311698389682,-0.13958739979870416
0.9125000000000001,0.09437276957496052,0.1579669013983188,-0.1109998867962479
0.925,0.08092401827496368,0.13576448039568828,-0.08470429416313105
0.9375,0.06745647875128519,0.1133530147700276,-0.06110722931181294
0.9500000000000001,0.0539756080004156,0.09079404749639622,-0.04064501772753042
0.9625,0.04048616629701805,0.06814147208939991,-0.02378525099068819
0.9750000000000001,0.02699205103962402,0.04543937796521479,-0.01102840151588684
0.9875,0.013496119843730104,0.02271975162106881,-0.0029095157115414114
1.0,0.0,0.0,0.0
