x,theta_mid,C_mid,psi_mid
0.0,1.0,1.0,0.0
0.0125,0.9875,0.9875,-1.3441183195352511e-25
0.025,0.9750000000000001,0.9750000000000003,-5.193173213376531e-25
0.037500000000000006,0.9624999999999999,0.9624999999999999,-1.1333556592741196e-24
0.05,0.95,0.95,-1.952231876748125e-24
0.0625,0.9375,0.9375,-2.949281527869577e-24
0.07500000000000001,0.925,0.925,-4.096107063278417e-24
0.08750000000000001,0.9125000000000001,0.9125000000000003,-5.363261014613448e-24
0.1,0.8999999999999999,0.8999999999999999,-6.720946808546222e-24
0.1125,0.8875,0.8875,-8.139706726541595e-24
0.125,0.875,0.875,-9.591068017131254e-24
0.1375,0.8625,0.8625,-1.1048122000338512e-23
0.15000000000000002,0.8500000000000001,0.8500000000000001,-1.2486016559948493e-23
0.1625,0.8375,0.8375,-1.3882348993534087e-23
0.17500000000000002,0.825,0.825,-1.5217453071564767e-23
0.1875,0.8125,0.8125,-1.647458069887529e-23
0.2,0.8,0.8,-1.76399842464268e-23
0.21250000000000002,0.7875000000000001,0.7875000000000001,-1.8702910055130964e-23
0.225,0.775,0.775,-1.9655516602647922e-23
0.23750000000000002,0.7625,0.7625,-2.049273233063208e-23
0.25,0.75,0.75,-2.1212068262318802e-23
0.2625,0.7375,0.7375,-2.1813399521781665e-23
0.275,0.725,0.725,-2.22987279958763e-23
0.28750000000000003,0.7124999999999999,0.7124999999999999,-2.267193599225103e-23
0.30000000000000004,0.7,0.7,-2.2938538172809692e-23
0.3125,0.6875,0.6875,-2.3105436576298822e-23
0.325,0.675,0.675,-2.31806814200311e-23
0.3375,0.6625,0.6625,-2.3173238747152038e-23
0.35000000000000003,0.6499999999999999,0.6499999999999999,-2.309276493945216e-23
0.36250000000000004,0.6375,0.6375,-2.2949387646715652e-23
0.375,0.625,0.625,-2.275349272648331e-23
0.3875,0.6125,0.6125,-2.2515517228214383e-23
0.4,0.6,0.6,-2.2245749148647914e-23
0.41250000000000003,0.5874999999999999,0.5874999999999999,-2.195413547623002e-23
0.42500000000000004,0.575,0.575,-2.1650100785684738e-23
0.4375,0.5625,0.5625,-2.1342379216513312e-23
0.45,0.55,0.55,-2.1038862982977636e-23
0.4625,0.5375000000000001,0.5375000000000001,-2.0746470569646422e-23
0.47500000000000003,0.5249999999999999,0.5249999999999999,-2.047103745872537e-23
0.48750000000000004,0.5125,0.5125,-2.0217231643927072e-23
0.5,0.5,0.5,-1.9988495372494717e-23
0.5125000000000001,0.48749999999999993,0.48749999999999993,-1.978701360615359e-23
0.525,0.475,0.475,-1.9613708698941735e-23
0.5375,0.4625,0.4625,-1.94682598521437e-23
0.55,0.44999999999999996,0.44999999999999996,-1.9349145112867083e-23
0.5625,0.4375,0.4375,-1.9253703106096548e-23
0.5750000000000001,0.42499999999999993,0.42499999999999993,-1.9178211381417694e-23
0.5875,0.4125,0.4125,-1.911797824063324e-23
0.6000000000000001,0.3999999999999999,0.3999999999999999,-1.9067445189871486e-23
0.6125,0.38749999999999996,0.38749999999999996,-1.902029770172547e-23
0.625,0.375,0.375,-1.8969582727322243e-23
0.6375000000000001,0.36249999999999993,0.36249999999999993,-1.890783229193864e-23
0.65,0.35,0.35,-1.8827193451330838e-23
0.6625000000000001,0.3374999999999999,0.3374999999999999,-1.871956577869027e-23
0.675,0.32499999999999996,0.32499999999999996,-1.857674828842523e-23
0.6875,0.3125,0.3125,-1.839059817894486e-23
0.7000000000000001,0.29999999999999993,0.29999999999999993,-1.8153203897728912e-23
0.7125,0.2875,0.2875,-1.7857074720958197e-23
0.7250000000000001,0.2749999999999999,0.2749999999999999,-1.7495348245242608e-23
0.7375,0.26249999999999996,0.26249999999999996,-1.7062015892670087e-23
0.75,0.25,0.25,-1.6552164755726416e-23
0.7625000000000001,0.2375,0.2375,-1.5962231925461485e-23
0.775,0.22499999999999998,0.22499999999999998,-1.529026497397229e-23
0.7875000000000001,0.21249999999999997,0.21249999999999997,-1.4536179668856314e-23
0.8,0.19999999999999996,0.19999999999999996,-1.370200349394693e-23
0.8125,0.1875,0.1875,-1.279209138102584e-23
0.8250000000000001,0.17499999999999993,0.17499999999999993,-1.1813298481368935e-23
0.8375,0.16249999999999998,0.16249999999999998,-1.0775094079414088e-23
0.8500000000000001,0.14999999999999997,0.14999999999999997,-9.689601099741371e-24
0.8625,0.13749999999999996,0.13749999999999996,-8.571547253161552e-24
0.875,0.125,0.125,-7.438116796107063e-24
0.8875000000000001,0.11249999999999993,0.11249999999999993,-6.308696122846713e-24
0.9,0.09999999999999995,0.09999999999999998,-5.204511834085633e-24
0.9125000000000001,0.08749999999999994,0.08749999999999991,-4.1481662615911146e-24
0.925,0.07499999999999996,0.07499999999999996,-3.163082286004541e-24
0.9375,0.062499999999999986,0.0625,-2.2728761670538495e-24
0.9500000000000001,0.04999999999999995,0.04999999999999995,-1.500683439693758e-24
0.9625,0.037499999999999964,0.037499999999999964,-8.684681116907916e-25
0.9750000000000001,0.024999999999999967,0.024999999999999953,-3.9634884345942348e-25
0.9875,0.01249999999999998,0.01249999999999997,-1.0197699325417456e-25
1.0,0.0,0.0,0.0
