x,theta_mid,C_mid,psi_mid
0.0,1.0,1.0,0.0
0.0125,0.9875,0.9875,-3.360295798838107e-28
0.025,0.9750000000000001,0.9750000000000003,-1.2982933033441258e-27
0.037500000000000006,0.9624999999999999,0.9624999999999999,-2.833389148185288e-27
0.05,0.95,0.95,-4.880579691870295e-27
0.0625,0.9375,0.9375,-7.373203819673913e-27
0.07500000000000001,0.925,0.925,-1.0240267658196005e-26
0.08750000000000001,0.9125000000000001,0.9125000000000003,-1.3408152536533573e-26
0.1,0.8999999999999999,0.8999999999999999,-1.6802367021365504e-26
0.1125,0.8875,0.8875,-2.0349266816353923e-26
0.125,0.875,0.875,-2.3977670042828064e-26
0.1375,0.8625,0.8625,-2.7620305000846193e-26
0.15000000000000002,0.8500000000000001,0.8500000000000001,-3.1215041399871147e-26
0.1625,0.8375,0.8375,-3.470587248383513e-26
0.17500000000000002,0.825,0.825,-3.8043632678911814e-26
0.1875,0.8125,0.8125,-4.118645174718812e-26
0.2,0.8,0.8,-4.409996061606687e-26
0.21250000000000002,0.7875000000000001,0.7875000000000001,-4.675727513782725e-26
0.225,0.775,0.775,-4.9138791506619635e-26
0.23750000000000002,0.7625,0.7625,-5.1231830826580025e-26
0.25,0.75,0.75,-5.30301706557968e-26
0.2625,0.7375,0.7375,-5.453349880445393e-26
0.275,0.725,0.725,-5.574681998969049e-26
0.28750000000000003,0.7124999999999999,0.7124999999999999,-5.66798399806273e-26
0.30000000000000004,0.7,0.7,-5.734634543202396e-26
0.3125,0.6875,0.6875,-5.776359144074678e-26
0.325,0.675,0.675,-5.795170355007748e-26
0.3375,0.6625,0.6625,-5.793309686787983e-26
0.35000000000000003,0.6499999999999999,0.6499999999999999,-5.773191234863017e-26
0.36250000000000004,0.6375,0.6375,-5.737346911678892e-26
0.375,0.625,0.625,-5.688373181620808e-26
0.3875,0.6125,0.6125,-5.628879307053581e-26
0.4,0.6,0.6,-5.561437287161967e-26
0.41250000000000003,0.5874999999999999,0.5874999999999999,-5.488533869057492e-26
0.42500000000000004,0.575,0.575,-5.412525196421173e-26
0.4375,0.5625,0.5625,-5.335594804128317e-26
0.45,0.55,0.55,-5.259715745744398e-26
0.4625,0.5375000000000001,0.5375000000000001,-5.186617642411595e-26
0.47500000000000003,0.5249999999999999,0.5249999999999999,-5.117759364681333e-26
0.48750000000000004,0.5125,0.5125,-5.05430791098176e-26
0.5,0.5,0.5,-4.997123843123674e-26
0.5125000000000001,0.48749999999999993,0.48749999999999993,-4.946753401538392e-26
0.525,0.475,0.475,-4.903427174735428e-26
0.5375,0.4625,0.4625,-4.8670649630359225e-26
0.55,0.44999999999999996,0.44999999999999996,-4.8372862782167675e-26
0.5625,0.4375,0.4375,-4.8134257765241345e-26
0.5750000000000001,0.42499999999999993,0.42499999999999993,-4.794552845354422e-26
0.5875,0.4125,0.4125,-4.779494560158308e-26
0.6000000000000001,0.3999999999999999,0.3999999999999999,-4.7668612974678697e-26
0.6125,0.38749999999999996,0.38749999999999996,-4.7550744254313675e-26
0.625,0.375,0.375,-4.742395681830561e-26
0.6375000000000001,0.36249999999999993,0.36249999999999993,-4.72695807298466e-26
0.65,0.35,0.35,-4.7067983628327095e-26
0.6625000000000001,0.3374999999999999,0.3374999999999999,-4.6798914446725694e-26
0.675,0.32499999999999996,0.32499999999999996,-4.6441870721063104e-26
0.6875,0.3125,0.3125,-4.5976495447362186e-26
0.7000000000000001,0.29999999999999993,0.29999999999999993,-4.538300974432233e-26
0.7125,0.2875,0.2875,-4.464268680239554e-26
0.7250000000000001,0.2749999999999999,0.2749999999999999,-4.3738370613106584e-26
0.7375,0.26249999999999996,0.26249999999999996,-4.265503973167528e-26
0.75,0.25,0.25,-4.138041188931611e-26
0.7625000000000001,0.2375,0.2375,-3.990557981365376e-26
0.775,0.22499999999999998,0.22499999999999998,-3.822566243493077e-26
0.7875000000000001,0.21249999999999997,0.21249999999999997,-3.634044917214083e-26
0.8,0.19999999999999996,0.19999999999999996,-3.425500873486738e-26
0.8125,0.1875,0.1875,-3.198022845256466e-26
0.8250000000000001,0.17499999999999993,0.17499999999999993,-2.9533246203422373e-26
0.8375,0.16249999999999998,0.16249999999999998,-2.6937735198535243e-26
0.8500000000000001,0.14999999999999997,0.14999999999999997,-2.4224002749353446e-26
0.8625,0.13749999999999996,0.13749999999999996,-2.142886813290391e-26
0.875,0.125,0.125,-1.859529199026769e-26
0.8875000000000001,0.11249999999999993,0.11249999999999993,-1.5771740307116813e-26
0.9,0.09999999999999995,0.09999999999999998,-1.30112795852141e-26
0.9125000000000001,0.08749999999999994,0.08749999999999991,-1.0370415653977802e-26
0.925,0.07499999999999996,0.07499999999999996,-7.907705715011366e-27
0.9375,0.062499999999999986,0.0625,-5.6821904176346336e-27
0.9500000000000001,0.04999999999999995,0.04999999999999995,-3.751708599234402e-27
0.9625,0.037499999999999964,0.037499999999999964,-2.171170279226982e-27
0.9750000000000001,0.024999999999999967,0.024999999999999953,-9.9087210864856e-28
0.9875,0.01249999999999998,0.01249999999999997,-2.549424831354367e-28
1.0,0.0,0.0,0.0
