AR,Ra,Angle,BC,Nu_avg,Sh_avg,iterations,runtime_s
1.00000,100,0,linear,1.00000,1.00000,500,0.02872
1.00000,100,0,adiabatic,1.00000,1.00000,500,0.02900
1.00000,100,30,linear,1.00012,1.00150,6000,0.34212
1.00000,100,30,adiabatic,1.00037,1.00451,10000,0.57669
1.00000,100,45,linear,1.00027,1.00357,8500,0.49407
1.00000,100,45,adiabatic,1.00074,1.00929,11000,0.64740
1.00000,100,60,linear,1.00040,1.00530,8500,0.49219
1.00000,100,60,adiabatic,1.00110,1.01393,11500,0.66590
1.00000,100,90,linear,1.00052,1.00695,9000,0.52435
1.00000,100,90,adiabatic,1.00143,1.01816,12000,0.72498
1.00000,250,0,linear,1.00000,1.00000,500,0.02998
1.00000,250,0,adiabatic,1.00000,1.00000,500,0.03000
1.00000,250,30,linear,1.00088,1.01167,9000,0.52657
1.00000,250,30,adiabatic,1.00265,1.03367,13500,0.78876
1.00000,250,45,linear,1.00172,1.02277,9500,0.54312
1.00000,250,45,adiabatic,1.00515,1.06519,14500,0.83241
1.00000,250,60,linear,1.00251,1.03316,9500,0.54622
1.00000,250,60,adiabatic,1.00739,1.09258,14500,0.85188
1.00000,250,90,linear,1.00318,1.04185,9500,0.54663
1.00000,250,90,adiabatic,1.00893,1.11097,14000,0.80776
1.00000,750,0,linear,1.00000,1.00000,500,0.02863
1.00000,750,0,adiabatic,1.00000,1.00000,500,0.02906
1.00000,750,30,linear,1.00912,1.11352,10000,0.57582
1.00000,750,30,adiabatic,1.03287,1.36790,17500,1.00223
1.00000,750,45,linear,1.01688,1.19961,10500,0.62294
1.00000,750,45,adiabatic,1.05559,1.56790,16000,0.94237
1.00000,750,60,linear,1.02320,1.26374,10500,0.60023
1.00000,750,60,adiabatic,1.07021,1.68045,14000,0.80280
1.00000,750,90,linear,1.02622,1.29358,10500,0.60238
1.00000,750,90,adiabatic,1.07041,1.68240,12000,0.70864
1.00000,1000,0,linear,1.00000,1.00000,500,0.02993
1.00000,1000,0,adiabatic,1.00000,1.00000,500,0.02892
1.00000,1000,30,linear,1.01732,1.20317,10000,0.58047
1.00000,1000,30,adiabatic,1.06643,1.64996,18500,1.10723
1.00000,1000,45,linear,1.03090,1.33320,11000,0.66801
1.00000,1000,45,adiabatic,1.10241,1.88904,15000,0.86788
1.00000,1000,60,linear,1.04096,1.41714,11000,0.63603
1.00000,1000,60,adiabatic,1.12158,2.00003,12500,0.74922
1.00000,1000,90,linear,1.04378,1.44157,13500,0.79706
1.00000,1000,90,adiabatic,1.11477,1.96556,10500,0.60206
1.00000,3000,0,linear,1.00000,1.00000,500,0.02926
