AR,Ra,Angle,BC,Nu_avg,Sh_avg,iterations,runtime_s
1.00000,3000,0,adiabatic,1.00000,1.00000,500,0.03003
1.00000,3000,30,linear,1.18564,2.07047,13500,0.79696
1.00000,3000,30,adiabatic,1.56644,3.11340,15000,0.87973
1.00000,3000,45,linear,1.23703,2.22343,15500,0.89336
1.00000,3000,45,adiabatic,1.61130,3.23270,16500,0.97248
1.00000,3000,60,linear,1.25924,2.28870,18000,1.05118
1.00000,3000,60,adiabatic,1.60917,3.27283,14500,0.85850
1.00000,3000,90,linear,1.23257,2.24487,17000,0.96831
1.00000,3000,90,adiabatic,1.49075,3.12670,17000,1.00590
1.00000,5000,0,linear,1.00000,1.00000,500,0.03111
1.00000,5000,0,adiabatic,1.00000,1.00000,500,0.02989
1.00000,5000,30,linear,1.38854,2.52196,20000,1.15619
1.00000,5000,30,adiabatic,1.91694,3.63586,24000,1.41560
1.00000,5000,45,linear,1.44164,2.64387,17500,1.00803
1.00000,5000,45,adiabatic,1.95494,3.75894,21500,1.25336
1.00000,5000,60,linear,1.45882,2.70087,20000,1.15829
1.00000,5000,60,adiabatic,1.94146,3.80208,23500,1.40434
1.00000,5000,90,linear,1.40208,2.64039,18500,1.05999
1.00000,5000,90,adiabatic,1.76713,3.65824,25500,1.49761
1.00000,10000,0,linear,1.00000,1.00000,500,0.03039
1.00000,10000,0,adiabatic,1.00000,1.00000,500,0.03306
1.00000,10000,30,linear,1.71714,3.08945,22500,1.31190
1.00000,10000,30,adiabatic,2.38803,4.37399,25000,1.46083
1.00000,10000,45,linear,1.77174,3.22562,24000,1.38654
1.00000,10000,45,adiabatic,2.43293,4.53136,26500,1.56719
1.00000,10000,60,linear,1.78612,3.29089,23000,1.34332
1.00000,10000,60,adiabatic,2.42649,4.60393,28500,1.65027
1.00000,10000,90,linear,1.69845,3.21994,24500,1.42289
1.00000,10000,90,adiabatic,2.21465,4.46192,30000,1.79305
1.00000,100000,0,linear,1.00000,1.00000,500,0.02902
1.00000,100000,0,adiabatic,1.00000,1.00000,500,0.03030
1.00000,100000,30,linear,3.06299,-304032886295169805252681064623127886060523664859192566749087680376508257499228774793360751989339140218745981070754275284676578710116875490786707711663913409581494037556947116939753746704151853739261323902976.00000,30000,1.74851
1.00000,100000,30,adiabatic,4.27977,-118069951176075580279253979321011206944620996123346153984349899932900314822527472845649742431711475088004095611324507991534524658967598907874639201770126247157526956377414150517492307900340077164486711159761666048.00000,30000,1.76119
1.00000,100000,45,linear,3.19083,-763636894840526486712777461422437943970194807084951088744185474177335930373614526598751572946947604444011414370195679675768887806840726283286714300829487503537641897474700060047339886840281176081352887082714628573101207584768.00000,30000,1.73289
1.00000,100000,45,adiabatic,4.42498,231790696911116363783235671467011594660258663611638499091910244918816920298494698757487282140735034642432686918008881489293144011548302236583548424215956207721778272306139379667243483715272747385880576.00000,30000,1.75060
1.00000,100000,60,linear,3.25728,919626695189769230162491921255892390415111089171060009613927842052709321487528292982531809995867348042796599799955506421081166858386573979037237844418570919999547801498330846809118480189261309567704605130752.00000,30000,1.73456
1.00000,100000,60,adiabatic,4.53763,110927350048778654885522837744034714615000963692528182541762220641901593492554488764892213254513091239219140532432474148083606201728643685164397598988076531495632633856.00000,30000,1.75118
1.00000,100000,90,linear,3.19713,3341793964434622368492083587453153554723441275186078455124310593760219573061693734912.00000,30000,1.73717
1.00000,100000,90,adiabatic,3.56750,1517399138718442862650970117210032114816253952.00000,30000,1.74739
